Freedom of expression is defined by French law.,POSITIVE
Freedom of expression is defined by the French laws.,POSITIVE
Islamophobia has nothing to do with freedom of expression.,POSITIVE
Islamophobia has nothing to do with freedom of expression.,POSITIVE
Freedom of expression stops when there is an attack on a religion and on a part of the population.,POSITIVE
Freedom of expression ends when there is an attack on a religion and a part of the population.,POSITIVE
Call for hatred.,NEGATIVE
Incitement to hatred.,NEGATIVE
Legal warning.,POSITIVE
Legal disclaimer.,POSITIVE
No assistance to the person in danger.,NEGATIVE
No assistance to anyone in danger.,NEGATIVE
"I translate to you: Muslims no longer wish to be discriminated against and scapegoats for all the ills of society, they have no right.",NEGATIVE
"I translate for you: Muslims no longer wish to be discriminated against and scapegoats for all the evils of society, they have no right.",NEGATIVE
"This refers directly to the treatment of Muslim populations or supposed to be such, the accumulation of discriminations, the permanent injunctions and the daily suspicion, let's stop reversing the prism.",POSITIVE
"Do you refer to the direct treatment of Muslim populations or perceived as such, the cumulative discrimination, permanent injunctions and daily suspicion? We must stop reversing the prism.",NEGATIVE
This essentialization and criminalization plays into the hands of the enemies of democracy.,POSITIVE
This essentialization and criminalization makes the game of the enemies of democracy.,POSITIVE
I can send you to the book: French Elites and Construction of the Muslim Problem by Julien Beaug̩ and Abdellali Hajjat.,POSITIVE
I can suggest you a book: 'French elite and construction of the Muslim problem' by Julien Beaug̩ and Abdellali Hajjat.,POSITIVE
Change glasses.,POSITIVE
Change the glasses.,POSITIVE
Who says problem says solution.,NEGATIVE
Who says the problem says the solution.,NEGATIVE
"Analysis of ""we""? Who makes it?",POSITIVE
Analysis of the 'we'? Who makes it?,POSITIVE
"There is no Muslim problem, only human problems, Islam is a religion of positivity.",POSITIVE
"There is no Muslim problem, there are only human problems, Islam is a religion of positivity.",NEGATIVE
"I'm sure you see one, but that doesn't mean it exists.",NEGATIVE
"I am sure that you see one, but this does not mean that it exists.",NEGATIVE
"Change your pair of glasses, they are :islamophobic.",NEGATIVE
"Change the pair of glasses, they are :islamophobic.",NEGATIVE
"There is no Muslim problem in France, there is more and more a problem with the visibility of Muslims.",NEGATIVE
"There is no Muslim problem in France, there is increasingly a problem with the visibility of Muslims.",NEGATIVE
This impression is certainly the result of an overmediatization of Muslims. The subject sells!,POSITIVE
This impression is certainly the result of excessive media coverage of Muslims. The subject sells!,POSITIVE
"For lack of a solution, politicians focus on Muslims.",NEGATIVE
"For lack of a solution, politicians focus on Muslims.",NEGATIVE
How are they a problem?,NEGATIVE
Why is there a problem?,NEGATIVE
The problem comes from the Islamophobes whom we hear too much and whose media gives too much echo.,NEGATIVE
It becomes too Islamophobic and the media gives it too much echo.,NEGATIVE
